Rnk,Player,Team,Gms,CLUTCH,SH,DF,FT,TO,REB,AST,STL,BLK
4,Jabari Smith Jr.,HOU,41,0.12,0.22,0.13,0.02,-0.25,0.82,0.31,0.15,0.19
5,Bruno Fernando,HOU,21,0.11,0.18,0.06,-0.02,-0.11,0.25,0.05,0.06,0.02
6,Usman Garuba,HOU,39,0.00,0.20,0.05,-0.01,-0.23,0.40,0.17,0.08,0.06
7,Darius Days,HOU,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Trevor Hudgins,HOU,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,Boban Marjanovic,HOU,15,-0.00,0.01,0.00,-0.00,-0.01,0.00,0.00,0.00,0.00
10,Josh Christopher,HOU,25,-0.05,-0.01,0.02,0.01,-0.06,0.03,0.03,0.01,0.01
11,Daishen Nix,HOU,35,-0.06,0.14,0.02,0.00,-0.22,0.07,0.50,0.09,0.03
12,TyTy Washington Jr.,HOU,13,-0.07,-0.05,0.01,-0.01,-0.02,0.02,0.20,0.00,0.00
13,Jae'Sean Tate,HOU,6,-0.10,-0.04,0.02,-0.00,-0.07,0.08,0.12,0.05,0.01
14,Eric Gordon,HOU,36,-0.15,0.31,0.12,0.03,-0.61,0.16,1.01,0.22,0.06
15,Jalen Green,HOU,42,-0.18,0.18,0.49,0.09,-0.94,0.50,0.74,0.22,0.01
16,Alperen Sengun,HOU,37,-0.52,-0.01,0.26,0.00,-0.77,1.01,0.75,0.24,0.15
17,Kevin Porter Jr.,HOU,40,-0.84,-0.40,0.83,-0.10,-1.17,0.68,1.60,0.48,0.19
1,Tyrese Haliburton,IND,39,1.44,1.14,0.54,0.25,-0.49,0.50,4.72,0.55,0.11
2,Myles Turner,IND,33,1.24,1.06,0.62,-0.08,-0.36,0.99,0.35,0.11,0.58
3,Aaron Nesmith,IND,37,1.02,0.53,0.38,0.23,-0.12,0.55,0.24,0.37,0.10
4,Buddy Hield,IND,43,0.57,0.90,0.22,0.07,-0.63,0.66,1.03,0.45,0.17
5,Oshae Brissett,IND,37,0.46,0.34,0.18,0.05,-0.11,0.43,0.15,0.15,0.02
6,Bennedict Mathurin,IND,42,0.44,0.30,0.73,-0.03,-0.56,0.68,0.32,0.23,0.04
7,Andrew Nembhard,IND,39,0.23,0.81,0.02,-0.02,-0.59,0.33,1.19,0.16,0.07
8,Isaiah Jackson,IND,31,0.19,0.28,0.12,-0.03,-0.19,0.33,0.19,0.10,0.15
9,T.J. McConnell,IND,40,0.17,0.35,0.06,0.04,-0.27,0.25,1.40,0.19,0.00
10,Jalen Smith,IND,42,0.14,0.13,0.21,0.06,-0.26,0.61,0.40,0.15,0.12
11,Goga Bitadze,IND,19,0.08,0.11,0.03,-0.04,-0.03,0.08,0.26,0.03,0.02
12,James Johnson,IND,11,0.07,0.07,0.00,0.00,-0.00,0.01,0.07,0.00,0.00
13,Kendall Brown,IND,6,0.01,0.00,0.01,-0.01,0.00,0.01,0.01,0.00,0.00
14,Daniel Theis,IND,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,Terry Taylor,IND,20,-0.00,0.00,0.01,0.00,-0.02,0.02,0.06,0.01,0.01
16,Trevelin Queen,IND,3,-0.02,0.00,0.00,0.00,-0.02,0.00,0.00,0.00,0.02
17,Chris Duarte,IND,23,-0.11,-0.01,0.02,-0.01,-0.11,0.06,0.19,0.00,0.00
1,Nicolas Batum,LAC,37,1.10,1.29,0.06,-0.04,-0.20,0.58,0.37,0.21,0.19
2,Norman Powell,LAC,32,0.78,0.65,0.31,-0.01,-0.18,0.15,0.48,0.09,0.07
3,Luke Kennard,LAC,26,0.73,0.75,0.07,0.06,-0.14,0.22,0.43,0.05,0.02
4,Kawhi Leonard,LAC,17,0.52,0.46,0.19,0.07,-0.19,0.25,1.54,0.08,0.02
5,Paul George,LAC,27,0.39,1.04,0.42,0.10,-1.18,0.60,1.69,0.67,0.07
6,Ivica Zubac,LAC,39,0.39,0.71,0.32,-0.12,-0.52,1.07,0.47,0.16,0.21
7,Terance Mann,LAC,40,0.31,0.45,0.09,0.01,-0.24,0.42,0.56,0.08,0.03
8,Moses Brown,LAC,27,0.23,0.25,0.04,-0.04,-0.02,0.25,0.00,0.00,0.02
9,Marcus Morris Sr.,LAC,37,0.14,0.22,0.13,0.06,-0.26,0.40,0.82,0.16,0.14
10,Amir Coffey,LAC,30,0.13,0.10,0.11,0.00,-0.08,0.12,0.03,0.04,0.00
11,Robert Covington,LAC,21,0.11,0.14,0.04,-0.02,-0.06,0.12,0.18,0.05,0.07
12,Moussa Diabate,LAC,7,0.08,0.06,0.04,-0.01,0.00,0.07,0.00,0.04,0.06
13,Brandon Boston Jr.,LAC,15,0.03,0.01,0.05,-0.00,-0.03,0.03,0.03,0.03,0.00
14,Jason Preston,LAC,8,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00
15,John Wall,LAC,32,-0.10,0.40,0.24,-0.05,-0.69,0.20,1.58,0.18,0.04
16,Reggie Jackson,LAC,36,-0.20,0.08,0.16,0.10,-0.55,0.25,1.34,0.06,0.05
1,LeBron James,LAL,32,1.12,1.13,0.72,-0.02,-0.71,0.95,2.54,0.23,0.08
2,Anthony Davis,LAL,22,0.98,0.73,0.59,-0.20,-0.13,0.73,0.55,0.19,0.12
3,Thomas Bryant,LAL,27,0.90,0.89,0.14,-0.01,-0.12,0.54,0.08,0.02,0.10
4,Dennis Schroder,LAL,26,0.86,0.35,0.53,0.19,-0.20,0.17,0.83,0.08,0.00
5,Wenyen Gabriel,LAL,29,0.85,0.75,0.24,-0.02,-0.11,0.30,0.08,0.09,0.08
6,Lonnie Walker IV,LAL,29,0.57,0.48,0.19,0.07,-0.16,0.11,0.15,0.06,0.04
7,Matt Ryan,LAL,10,0.53,0.54,0.00,0.00,-0.01,0.00,0.00,0.00,0.00
8,Austin Reaves,LAL,32,0.40,0.55,0.38,0.01,-0.54,0.20,1.00,0.22,0.06
9,Juan Toscano-Anderson,LAL,21,0.16,0.18,0.02,0.01,-0.05,0.06,0.04,0.04,0.02
10,Max Christie,LAL,22,0.06,0.08,0.00,0.00,-0.02,0.10,0.02,0.00,0.00
11,Troy Brown Jr.,LAL,33,0.04,0.18,0.02,0.01,-0.18,0.32,0.15,0.04,0.03
12,Cole Swider,LAL,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,Scotty Pippen Jr.,LAL,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,Sterling Brown,LAL,4,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
15,Damian Jones,LAL,16,-0.01,-0.01,0.03,0.00,-0.03,0.05,0.02,0.01,0.02
16,Kendrick Nunn,LAL,31,-0.10,-0.05,0.02,-0.03,-0.04,0.07,0.08,0.01,0.00
17,Patrick Beverley,LAL,31,-0.16,-0.07,0.02,0.00,-0.12,0.17,0.35,0.41,0.07
18,Russell Westbrook,LAL,37,-0.82,-0.47,0.45,-0.13,-0.67,0.77,2.17,0.31,0.19
1,Desmond Bane,MEM,22,0.71,0.77,0.22,0.06,-0.34,0.22,0.64,0.05,0.01
2,Tyus Jones,MEM,42,0.59,0.58,0.10,0.07,-0.17,0.23,1.52,0.14,0.00
3,Dillon Brooks,MEM,38,0.45,0.49,0.11,0.05,-0.21,0.25,0.41,0.10,0.00
4,John Konchar,MEM,39,0.35,0.39,0.05,0.02,-0.12,0.39,0.29,0.14,0.01
5,Santi Aldama,MEM,39,0.24,0.25,0.12,-0.04,-0.09,0.27,0.22,0.15,0.07
6,David Roddy,MEM,35,0.23,0.34,0.03,-0.01,-0.12,0.14,0.09,0.07,0.03
7,Brandon Clarke,MEM,35,0.19,0.33,0.13,-0.00,-0.27,0.30,0.17,0.08,0.07
8,Jaren Jackson Jr.,MEM,26,0.15,0.14,0.12,0.03,-0.14,0.28,0.07,0.06,0.14
9,Steven Adams,MEM,37,0.09,0.36,0.18,-0.16,-0.27,1.42,0.49,0.14,0.14
10,Ja Morant,MEM,32,0.06,0.14,0.88,-0.19,-0.77,0.51,1.28,0.09,0.06
11,Kennedy Chandler,MEM,20,0.01,0.06,0.00,-0.00,-0.05,0.02,0.08,0.06,0.01
12,Danny Green,MEM,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,Kenneth Lofton Jr.,MEM,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,Ziaire Williams,MEM,16,-0.00,0.02,0.02,-0.02,-0.03,0.03,0.00,0.02,0.03
15,Xavier Tillman,MEM,25,-0.01,0.03,0.01,-0.01,-0.03,0.15,0.15,0.08,0.01
16,Jake LaRavia,MEM,23,-0.01,0.02,0.02,0.01,-0.06,0.10,0.17,0.08,0.02
17,Vince Williams Jr.,MEM,8,-0.01,-0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.00
1,Tyler Herro,MIA,32,1.55,1.93,0.34,0.15,-0.87,0.60,1.26,0.26,0.08
2,Bam Adebayo,MIA,39,1.40,1.04,1.00,0.43,-1.06,1.48,1.58,0.64,0.07
3,Jimmy Butler,MIA,30,1.30,0.67,0.98,0.27,-0.62,0.69,1.76,0.51,0.28
4,Victor Oladipo,MIA,17,0.46,0.43,0.32,-0.07,-0.22,0.25,1.31,0.37,0.03
5,Duncan Robinson,MIA,28,0.36,0.40,0.08,0.04,-0.16,0.08,0.28,0.03,0.00
6,Gabe Vincent,MIA,30,0.36,0.44,0.26,0.11,-0.45,0.38,0.80,0.49,0.01
7,Max Strus,MIA,42,0.32,0.62,0.11,0.01,-0.43,0.45,0.94,0.20,0.13
8,Dewayne Dedmon,MIA,29,0.29,0.35,0.12,-0.06,-0.12,0.22,0.28,0.02,0.10
9,Haywood Highsmith,MIA,31,0.19,0.33,0.13,-0.07,-0.19,0.58,0.23,0.19,0.03
10,Kyle Lowry,MIA,36,0.12,0.46,0.32,0.09,-0.74,0.54,2.81,0.33,0.18
11,Jamal Cain,MIA,13,0.08,0.05,0.03,0.03,-0.04,0.07,0.11,0.01,0.00
12,Omer Yurtseven,MIA,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,Orlando O. Robinson,MIA,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,Duncan D. Robinson,MIA,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,Udonis Haslem,MIA,5,-0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,Dru Smith,MIA,5,-0.01,-0.01,0.00,0.00,0.00,0.01,0.04,0.00,0.01
17,Nikola Jovic,MIA,14,-0.01,-0.00,0.01,0.01,-0.03,0.04,0.02,0.04,0.01
18,Caleb Martin,MIA,33,-0.08,0.26,0.14,-0.03,-0.46,0.53,0.54,0.53,0.11
19,Orlando Robinson,MIA,16,-0.14,0.07,0.07,-0.00,-0.27,0.35,0.21,0.04,0.12
1,Brook Lopez,MIL,41,1.07,1.01,0.75,-0.23,-0.46,1.06,0.59,0.09,0.48
2,Giannis Antetokounmpo,MIL,34,0.74,1.10,1.17,-0.41,-1.12,1.51,2.19,0.08,0.10
3,Bobby Portis,MIL,40,0.73,0.86,0.11,0.01,-0.24,0.92,0.32,0.13,0.07
4,Jrue Holiday,MIL,32,0.34,0.94,0.21,0.10,-0.91,0.51,1.78,0.32,0.00
5,George Hill,MIL,30,0.29,0.27,0.14,0.04,-0.16,0.11,0.89,0.13,0.00
6,Pat Connaughton,MIL,27,0.26,0.35,0.02,-0.03,-0.09,0.28,0.21,0.08,0.00
7,Jordan Nwora,MIL,28,0.22,0.17,0.08,0.01,-0.04,0.12,0.09,0.03,0.02
8,Wesley Matthews,MIL,26,0.20,0.23,0.01,-0.01,-0.04,0.38,0.10,0.08,0.01
9,AJ Green,MIL,19,0.04,0.04,0.00,0.00,-0.01,0.01,0.00,0.02,0.00
10,Serge Ibaka,MIL,16,0.03,0.02,0.00,0.03,-0.02,0.03,0.01,0.00,0.00
11,Grayson Allen,MIL,38,0.02,0.40,0.12,0.05,-0.55,0.34,1.16,0.17,0.03
12,MarJon Beauchamp,MIL,29,0.01,0.10,0.01,-0.00,-0.09,0.17,0.06,0.05,0.00
13,Sandro Mamukelashvili,MIL,19,0.01,0.01,0.02,-0.01,-0.01,0.04,0.07,0.00,0.00
14,A.J. Green,MIL,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,Thanasis Antetokounmpo,MIL,20,-0.02,-0.00,0.00,0.00,-0.02,0.01,0.00,0.00,0.01
16,Khris Middleton,MIL,7,-0.13,-0.15,0.03,0.01,-0.01,0.01,0.12,0.02,0.01
17,Joe Ingles,MIL,12,-0.13,0.03,0.00,0.00,-0.17,0.04,0.32,0.00,0.00
18,Jevon Carter,MIL,42,-0.29,0.02,0.04,0.01,-0.36,0.25,0.50,0.17,0.08
1,Rudy Gobert,MIN,36,1.11,0.91,0.57,-0.10,-0.27,1.01,0.17,0.20,0.27
2,D'Angelo Russell,MIN,41,0.97,1.30,0.29,0.09,-0.71,0.27,1.48,0.35,0.05
3,Jaylen Nowell,MIN,42,0.55,0.61,0.10,-0.01,-0.16,0.21,0.88,0.14,0.11
4,Jaden McDaniels,MIN,39,0.43,0.46,0.23,0.06,-0.33,0.30,0.71,0.17,0.15
5,Austin Rivers,MIN,33,0.33,0.41,0.07,0.02,-0.17,0.10,0.50,0.13,0.01
6,Luka Garza,MIN,11,0.24,0.19,0.06,0.02,-0.03,0.04,0.02,0.00,0.01
7,Anthony Edwards,MIN,42,0.24,0.79,0.33,0.04,-0.91,0.52,1.34,0.57,0.28
8,Taurean Prince,MIN,23,0.19,0.31,0.04,-0.01,-0.16,0.14,0.13,0.05,0.00
9,Jordan McLaughlin,MIN,18,0.14,0.23,0.02,0.01,-0.11,0.05,0.30,0.08,0.00
10,Wendell Moore Jr.,MIN,16,0.04,0.07,0.00,0.00,-0.04,0.02,0.01,0.00,0.01
11,Nathan Knight,MIN,18,0.02,0.03,0.03,-0.01,-0.03,0.04,0.06,0.00,0.01
12,Naz Reid,MIN,35,0.01,0.45,0.05,-0.03,-0.46,0.44,0.30,0.11,0.09
13,Matt Ryan,MIN,11,0.00,0.01,0.00,0.00,-0.01,0.01,0.01,0.01,0.00
14,Josh Minott,MIN,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,A.J. Lawson,MIN,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,Bryn Forbes,MIN,21,-0.07,-0.04,0.01,0.01,-0.05,0.02,0.07,0.01,0.00
17,Kyle Anderson,MIN,32,-0.12,0.08,0.08,0.00,-0.28,0.29,1.01,0.21,0.10
18,Karl-Anthony Towns,MIN,21,-0.20,-0.07,0.14,0.03,-0.31,0.41,0.51,0.03,0.06
1,Zion Williamson,NOP,28,2.23,1.61,1.20,0.06,-0.64,0.44,1.65,0.41,0.16
2,Trey Murphy III,NOP,37,1.52,1.50,0.20,0.11,-0.30,0.45,0.68,0.18,0.07
3,Brandon Ingram,NOP,14,0.52,0.44,0.19,0.07,-0.18,0.08,0.46,0.03,0.05
4,Larry Nance Jr.,NOP,33,0.38,0.46,0.16,-0.10,-0.14,0.82,0.77,0.24,0.28
5,Jonas Valanciunas,NOP,43,0.20,0.35,0.16,0.05,-0.36,0.90,0.29,0.05,0.08
6,Jaxson Hayes,NOP,22,0.18,0.11,0.14,-0.04,-0.02,0.07,0.15,0.03,0.03
7,Jose Alvarado,NOP,40,0.17,0.46,0.09,-0.05,-0.34,0.21,0.51,0.23,0.02
8,Herbert Jones,NOP,29,0.07,0.09,0.29,-0.04,-0.27,0.29,0.75,0.19,0.06
9,Willy Hernangomez,NOP,20,0.01,0.00,0.06,0.03,-0.09,0.09,0.06,0.01,0.00
10,Kira Lewis Jr.,NOP,5,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,Garrett Temple,NOP,13,0.00,0.00,0.00,0.00,-0.00,0.00,0.01,0.01,0.00
12,E.J. Liddell,NOP,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,Dereon Seabron,NOP,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,CJ McCollum,NOP,37,-0.00,0.91,0.24,-0.03,-1.12,0.72,2.14,0.40,0.24
15,Naji Marshall,NOP,40,-0.02,0.08,0.22,0.02,-0.33,0.46,0.53,0.23,0.02
16,Devonte' Graham,NOP,43,-0.04,-0.03,0.11,-0.01,-0.11,0.13,0.40,0.10,0.05
17,Dyson Daniels,NOP,33,-0.06,0.06,0.04,-0.03,-0.13,0.32,0.32,0.29,0.05
1,Jalen Brunson,NYK,39,1.63,1.24,0.72,0.12,-0.45,0.27,2.35,0.21,0.05
2,Cam Reddish,NYK,19,0.68,0.65,0.07,0.03,-0.06,0.07,0.11,0.20,0.07
3,Obi Toppin,NYK,28,0.45,0.50,0.03,-0.02,-0.06,0.12,0.04,0.03,0.01
4,Mitchell Robinson,NYK,36,0.42,0.44,0.16,-0.14,-0.05,1.12,0.24,0.19,0.41
5,Isaiah Hartenstein,NYK,41,0.40,0.35,0.13,0.02,-0.10,0.43,0.20,0.09,0.09
6,Jericho Sims,NYK,29,0.36,0.28,0.06,0.01,-0.00,0.32,0.12,0.01,0.12
7,Quentin Grimes,NYK,31,0.34,0.52,0.10,-0.02,-0.26,0.40,0.22,0.23,0.03
8,Julius Randle,NYK,43,0.19,0.25,0.85,-0.07,-0.85,1.29,1.94,0.41,0.13
9,Immanuel Quickley,NYK,42,0.17,0.28,0.15,0.03,-0.29,0.25,0.62,0.24,0.00
10,Derrick Rose,NYK,24,0.07,0.14,0.01,0.00,-0.08,0.03,0.19,0.03,0.02
11,Miles McBride,NYK,31,0.04,0.02,0.03,0.03,-0.04,0.03,0.08,0.09,0.01
12,Ryan Arcidiacono,NYK,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,Svi Mykhailiuk,NYK,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,Feron Hunt,NYK,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,Trevor Keels,NYK,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,DaQuan Jeffries,NYK,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,Evan Fournier,NYK,18,-0.03,0.02,0.01,-0.00,-0.06,0.06,0.16,0.03,0.00
18,RJ Barrett,NYK,37,-0.08,0.08,0.55,-0.05,-0.66,0.74,0.75,0.07,0.08
1,Shai Gilgeous-Alexander,OKC,38,2.15,1.66,1.17,0.74,-1.42,0.57,2.27,0.38,0.14
2,Jalen Williams,OKC,39,0.99,0.44,0.42,0.39,-0.26,0.43,1.58,0.32,0.17
